Area Type,Area Name,Date,Year,Month,Age 16-19,Age 20-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65+
State,California,2/1/2008,2008,February,0.358,0.724,0.816,0.816,0.811,0.651,0.146
State,California,3/1/2008,2008,March,0.354,0.722,0.816,0.817,0.811,0.653,0.147
State,California,4/1/2008,2008,April,0.349,0.722,0.815,0.818,0.812,0.655,0.149
State,California,5/1/2008,2008,May,0.347,0.722,0.816,0.82,0.811,0.655,0.15
State,California,6/1/2008,2008,June,0.344,0.721,0.816,0.822,0.81,0.654,0.153
State,California,7/1/2008,2008,July,0.344,0.72,0.817,0.823,0.808,0.654,0.156
State,California,8/1/2008,2008,August,0.345,0.718,0.817,0.824,0.807,0.654,0.158
State,California,9/1/2008,2008,September,0.343,0.718,0.818,0.825,0.806,0.654,0.16
State,California,10/1/2008,2008,October,0.344,0.72,0.818,0.827,0.806,0.656,0.162
State,California,11/1/2008,2008,November,0.342,0.719,0.817,0.825,0.806,0.658,0.165
State,California,12/1/2008,2008,December,0.341,0.717,0.817,0.825,0.806,0.659,0.167
State,California,1/1/2009,2009,January,0.338,0.716,0.819,0.826,0.807,0.661,0.169
State,California,2/1/2009,2009,February,0.337,0.714,0.82,0.827,0.809,0.661,0.17
State,California,3/1/2009,2009,March,0.334,0.713,0.822,0.827,0.81,0.662,0.172
State,California,4/1/2009,2009,April,0.334,0.713,0.823,0.827,0.812,0.66,0.173
State,California,5/1/2009,2009,May,0.332,0.712,0.822,0.826,0.812,0.66,0.174
State,California,6/1/2009,2009,June,0.328,0.71,0.82,0.826,0.813,0.661,0.175
State,California,7/1/2009,2009,July,0.325,0.711,0.818,0.826,0.813,0.661,0.174
State,California,8/1/2009,2009,August,0.321,0.711,0.817,0.825,0.814,0.663,0.175
State,California,9/1/2009,2009,September,0.319,0.709,0.815,0.823,0.814,0.663,0.176
State,California,10/1/2009,2009,October,0.317,0.704,0.813,0.821,0.812,0.661,0.178
State,California,11/1/2009,2009,November,0.314,0.703,0.812,0.821,0.811,0.66,0.178
State,California,12/1/2009,2009,December,0.311,0.701,0.812,0.818,0.809,0.656,0.179
State,California,1/1/2010,2010,January,0.31,0.7,0.811,0.817,0.809,0.656,0.179
State,California,2/1/2010,2010,February,0.307,0.699,0.811,0.816,0.81,0.654,0.179
State,California,3/1/2010,2010,March,0.307,0.697,0.81,0.815,0.81,0.653,0.18
State,California,4/1/2010,2010,April,0.303,0.698,0.808,0.816,0.81,0.652,0.178
State,California,5/1/2010,2010,May,0.3,0.698,0.81,0.815,0.81,0.651,0.176
State,California,6/1/2010,2010,June,0.298,0.698,0.811,0.814,0.81,0.65,0.175
State,California,7/1/2010,2010,July,0.295,0.695,0.811,0.812,0.81,0.65,0.173
State,California,8/1/2010,2010,August,0.29,0.693,0.812,0.811,0.81,0.649,0.171
State,California,9/1/2010,2010,September,0.286,0.689,0.814,0.812,0.809,0.65,0.17
State,California,10/1/2010,2010,October,0.284,0.684,0.815,0.812,0.809,0.649,0.169
State,California,11/1/2010,2010,November,0.284,0.68,0.815,0.811,0.808,0.649,0.168
State,California,12/1/2010,2010,December,0.281,0.675,0.814,0.812,0.808,0.651,0.168
State,California,1/1/2011,2011,January,0.279,0.674,0.813,0.811,0.807,0.652,0.169
State,California,2/1/2011,2011,February,0.277,0.673,0.81,0.809,0.805,0.653,0.169
State,California,3/1/2011,2011,March,0.272,0.672,0.807,0.807,0.804,0.654,0.168
State,California,4/1/2011,2011,April,0.271,0.669,0.806,0.806,0.802,0.656,0.168
State,California,5/1/2011,2011,May,0.271,0.667,0.804,0.804,0.802,0.656,0.169
State,California,6/1/2011,2011,June,0.272,0.667,0.802,0.804,0.801,0.656,0.168
State,California,7/1/2011,2011,July,0.27,0.669,0.801,0.803,0.801,0.654,0.169
State,California,8/1/2011,2011,August,0.271,0.67,0.8,0.803,0.802,0.652,0.171
State,California,9/1/2011,2011,September,0.269,0.671,0.798,0.803,0.802,0.652,0.172
